question,answer
好生活APP介绍,您好，平安保险好生活APP是平安产险最新打造的以保险+服务为核心的生活服务平台。致力于提供一站式保险查询、购买、理赔、续保等功能，同时提供旅游出行、居家生活、医疗健康、用车养车等数十项生活相关服务和最新资讯内容。用户不仅可在平台上享受优质保险产品的折扣优惠、拼团砍价等活动，还能体验全车检测、父母体检、机场贵宾厅、问医生、家政服务、生活缴费、银行卡服务、车辆相关等生活类服务。一个APP在手，生活烦恼不再有。平安保险好生活，您的24小时保险生活服务管家！
反馈问题结果咨询,"您好，您可按照以下方式查询进展：

1、APP意见反馈在线提交问题：通过APP底部→我的→帮助与反馈→意见反馈→ 我的反馈 ，查看处理进度；
2、人工客服上报反馈/卡券不能使用等问题：通过APP底部→我的→帮助与反馈→底部→服务进度→ 问题处理进度 ，即可查看。"
如何填写保单配送地址,您好，您在提交订单时，可按实际的配送地址填写配送信息。若有其他疑问，可以联系您的专属客户经理核实 。
无法充值,
平安好车主信用卡加油返现额度,"您好，平安好车主信用卡加油返现如下：

1、平安银行好车主白金信用卡：每人每月最高返现150元；
2、平安银行好车主金卡豪享版：每人每月最高返现100元；
3、平安银行好车主金卡随享版：每人每月最高返现30元；

★温馨提醒：
同时是好车主信用卡白金及金卡，且分别有指定加油交易，所有指定加油交易合并计算单个自然月返现总额，且每人每月最高返现150元。"
兑换专区兑换实物礼品是否可以选择属性,您好，该功能正在努力开发中，请您敬请期待。
案件理赔明细查询,您好，您可通过APP首页→ 办理赔/报保险?→根据案件类型进入【车险案件】或【非车险案件】，选择对应的案件并查看详情。★温馨提醒：支持被保险人或报案人查询。
删除绑定车辆的步骤,您好，如需删除之前绑定的车辆，您可在 我的爱车 →右上角“车辆管理”→选择需要删除的车辆→点击删除即可。
列表中没有附近检测站,您好，检测站列表所列检测站为与服务商有合作的检测站，没有合作的检测站无法提供代办服务。
什么是电子发票,电子发票是国家税务总局推广的采用统一防伪技术、全国统一代码，附有税务局电子签名的电子化发票。
药诊卡如何修改配送地址,您好，药诊卡暂不支持修改配送地址，您可在配送员联系时告知改寄。
报废车辆如何退保,"您好，若报废车辆需要退保，商业险可通过平安好车主APP首页→查保单→ 信息修改 →商业险→退保，按页面信息操作即可，交强险可联系我司专属客户经理办理。

★温馨提醒：
若您无法线上退保，您可点击 门店预约 到平安门店处理，预约后会有专人联系您。"
交强险如何确定保费,"车险正常续保的情况：交强险最终保费=交强险基础保费*（1+与道路交通事故相联系的浮动比率）。

交强险基础保费为：
1、家庭自用车6座以下，交强险基础保费950元；
2、家庭自用车6座及以上，交强险基础保费1100元；
3、企业非营业汽车6座以下，交强险基础保费1000元；
4、企业非营业汽车6-10座，交强险基础保费1130元；
5、非营业货车2吨以下，交强险基础保费1200元。"
为何无法在线批改,您好，您可通过APP首页→ 买车险 ，进入报价页面后，点击“调整方案”修改报价方案。
优惠加油能否开发票,"您好，优惠加油可以开发票，若有需要，可向加油站工作人员展示平安好车主本次加油订单即可。

★温馨提醒： 
若加油站无法开票，您可通过加油订单详情页底部“客服电话”，联系客服帮您加急处理下。"
中国平安公司简介,中国平安全称中国平安保险（集团）股份有限公司，1988年诞生于深圳蛇口，是中国第一家股份制保险公司，开创至今已经发展成为集金融、科技为一体，整合、紧密、多元的综合金融服务集团。中国平安致力于成为国际领先的个人金融生活服务提供商，坚持“科技引领金融，金融服务生活”的经营理念，推动核心金融业务和互联网金融业务共同发展，为客户创造“专业，让生活更简单”的品牌体验。
批改保单人员信息途径,"您好，您可通过APP首页→查保单→ 信息修改 →选择险别→人员信息修改 ，根据页面提示操作，即可完成人员信息变更。

★温馨提醒：
1）修改为单位的，暂不支持在线修改；
2）更换被保险人或投保人，需原投保人进行人脸识别，若修改后与车主不一致的，需车主进行人脸识别；
3）深圳地区投保客户，涉及对投保人和被保人的关键信息批改时，需点击 门店预约 咨询办理，不支持客户在线自助操作，如有不便，请谅解。"
APP的下载方式,安安不太明白您的意思，要不您换个问法再试试，或许安安就能明白啦！
如何查看家人或朋友保单,"您好，您可通过APP首页→查保单→左上角头像→ 添加家人 ，输入姓名、身份证、与本人关系，在您的手机上让家人或朋友本人通过人脸识别授权即可查看保单。

★温馨提醒：
1、如果家人不在身边，可以让家人登录平安好车主APP→查保单→左上角头像→授权家人看保单，进行人脸识别授权他人查看；
2、最多可添加6位家庭成员，支持前往查保单左上角头像→添加家人，对“家人授权”进行解绑；
3、若您之前已添加过家人未授权成功，可进入 我的家人 中进行修改。"
话费充值入口,"您好，话费充值入口如下：

1、您可通过APP首页→更多→健康生活→ 话费充值 ，即可进入充值；
2、通过APP底部→我的→ 我的卡券 →选择已收到的对应的话费券→点击充值即可。"
洗车服务被作废,安安不太明白您的意思，要不您换个问法再试试，或许安安就能明白啦！
网点不提供服务,您好，若网点不提供服务，建议您通过APP首页→ 用卡券 ，选择对应卡券查询是否为平安合作网点。若确认为卡券中展示的网点，您可以在下方问题描述中填写：网点名称、地点及问题，提交专员核实处理。
话费充值说明,"您好，话费充值说明如下：

1、不支持副卡用户在线充值，副卡用户请前往当地营业厅进行充值；
2、不支持携号转网用户在线充值，携号转网用户需前往当地营业厅进行充值；
3、在线充值不保证参加当地运营商的优惠活动；
4、在线充值时，可以给自己手机号充值，也可以给其他手机号充值。"
什么是平安信用卡新用户,您好，平安信用卡新用户是指，从未持有平安银行信用卡，首次申请并核发/平安信用卡注销满一年以上，再次申请并核发的用户。
无法投保,
话费充值到账时间,您好，话费正常情况下2小时内可到账，若遇到月初月末运营商充值高峰期时可能会有些许延迟，预计24小时内到账，详细到账时间以当地运营商查询为准，到账后会有运营商发来的到账短信。★温馨提醒：若有疑问，可拨打合作商家客服电话咨询，杭州润升：0571-87022641或4006618993，湖北宽通：4001561880。
福利的发放及查询,"您好，获得的福利及奖品会发放至平安好车主APP账户中，具体查询方式如下：

1、积分：可通过平安好车主APP→我的→ 我的积分 查看明细；
2、其他福利：可通过平安好车主APP→我的→ 我的卡券 查看并使用。

★温馨提醒： 
若为实物奖励，可在对应卡券的详情里根据指引填写相关信息，填写完毕后会在规定时间发放奖励。且实物奖励需注意有效期，请在有效期内完成兑换。"
